# ra   dec
1.496167729999999949e+02 1.930509999999999948e+00
1.496507369999999923e+02 2.846156999999999826e+00
1.496306409999999971e+02 2.829422000000000104e+00
1.496391649999999913e+02 1.636738999999999944e+00
1.496442859999999939e+02 1.982933000000000057e+00
1.496620650000000126e+02 2.304931999999999981e+00
1.497175469999999962e+02 1.817123000000000044e+00
1.497527589999999975e+02 2.157707999999999959e+00
1.497559160000000134e+02 2.785896000000000150e+00
1.497468350000000044e+02 2.827376000000000111e+00
1.497522539999999935e+02 1.963956999999999953e+00
1.497379290000000083e+02 2.289846999999999966e+00
1.497362290000000087e+02 1.672001999999999988e+00
1.497723349999999982e+02 1.981316999999999995e+00
1.497520250000000033e+02 2.637690000000000090e+00
1.497834760000000074e+02 2.356148999999999827e+00
1.497691430000000139e+02 2.366023000000000209e+00
1.498332540000000108e+02 1.723756000000000066e+00
1.498061170000000004e+02 1.791663000000000006e+00
1.498333869999999877e+02 2.670380000000000198e+00
1.497973550000000103e+02 2.669579999999999842e+00
1.498278099999999995e+02 1.842843000000000009e+00
1.498100760000000093e+02 2.124770999999999965e+00
1.498573979999999892e+02 2.189351999999999965e+00
1.498743910000000028e+02 1.942633999999999972e+00
1.498715349999999944e+02 2.850992000000000193e+00
1.498909930000000088e+02 1.668990999999999891e+00
1.498844569999999976e+02 2.319332000000000171e+00
1.498892380000000060e+02 2.643712999999999980e+00
1.498453979999999888e+02 2.620302999999999827e+00
1.498809479999999894e+02 2.380548000000000108e+00
1.495930130000000133e+02 2.740921000000000163e+00
1.495981250000000102e+02 2.117445000000000022e+00
1.495784199999999942e+02 2.185907999999999962e+00
1.495882900000000006e+02 1.578524000000000038e+00
1.495893499999999960e+02 1.603037999999999963e+00
1.495964449999999886e+02 2.835799999999999876e+00
1.495931659999999965e+02 1.659099000000000101e+00
1.495914180000000044e+02 1.648735999999999979e+00
1.495914589999999862e+02 1.643542999999999976e+00
1.495761819999999886e+02 2.563810000000000144e+00
1.495756440000000111e+02 2.575649999999999995e+00
1.496097310000000107e+02 2.597506999999999788e+00
1.496150800000000061e+02 2.636041000000000079e+00
1.496118669999999895e+02 2.617055999999999827e+00
1.496230280000000050e+02 2.370115999999999890e+00
1.495857849999999871e+02 2.651126000000000094e+00
1.495896160000000066e+02 2.694545000000000190e+00
1.494856829999999945e+02 2.475295000000000023e+00
1.494830200000000104e+02 2.470579999999999998e+00
1.494810449999999946e+02 2.460547000000000040e+00
1.494864780000000053e+02 2.492640000000000189e+00
1.494444619999999873e+02 1.872605999999999993e+00
1.494466150000000084e+02 1.884509999999999907e+00
1.494409339999999986e+02 1.865388999999999964e+00
1.494582100000000082e+02 2.543740000000000112e+00
1.494608220000000074e+02 2.554286999999999974e+00
1.494546660000000031e+02 2.529654999999999987e+00
1.494647820000000138e+02 2.254922999999999789e+00
1.494607310000000098e+02 2.243456999999999812e+00
1.494618409999999926e+02 2.248062000000000005e+00
1.494873450000000048e+02 1.986423999999999968e+00
1.494867319999999893e+02 2.004376999999999853e+00
1.495071320000000128e+02 2.315907999999999856e+00
1.495091920000000130e+02 2.613021999999999956e+00
1.495160060000000044e+02 2.662685000000000191e+00
1.494671250000000100e+02 2.034203999999999901e+00
1.495290960000000098e+02 2.380129000000000161e+00
1.494884270000000015e+02 2.077910000000000146e+00
1.504921960000000070e+02 2.100883000000000056e+00
1.502113009999999917e+02 2.801231000000000027e+00
1.502485690000000034e+02 2.527061999999999919e+00
1.502256350000000111e+02 2.487525999999999904e+00
1.502078300000000013e+02 2.228197999999999901e+00
1.499571650000000034e+02 2.842760999999999871e+00
1.499681359999999870e+02 1.655656999999999934e+00
1.499883820000000014e+02 1.957300000000000040e+00
1.499864609999999914e+02 2.279313000000000144e+00
1.500015870000000007e+02 2.322404000000000135e+00
1.499780989999999861e+02 2.664112999999999953e+00
